Ticker,31-Jan-22,30-Apr-22,31-Jul-22,31-Oct-22,31-Jan-23,30-Apr-23,31-Jul-23,31-Oct-23,31-Jan-24,30-Apr-24,31-Jul-24,31-Jan-25,30-Apr-25,31-Jul-25,31-Oct-25
JEF,5.069,-11.744,-21.058,10.07,-3.196,15.649,12.734,4.626,44.635,58.024,79.07,97.70727778,43.27693115,32.86669567,25.89098685
JELD,-34.693,-41.517,-62.368,-41.378,-15.0243,-24.514,49.121,39.785,2.329,-11.974,-25.034,-13.40895856,-7.618330065,-4.929330284,-3.666286855
JFIN,-63.52,-44.467,-48.158,100.503,158.772,95.652,202.031,61.654,78.846,0.926,57.92593728,33.96456143,43.79866327,39.65260346,43.9221061
JG,-68.038,-45.313,-36.631,-59.425,-77.733,-84.762,-87.913,-63.962,11.601,25,143.982,137.2617423,188.0127142,191.7633553,189.0351561
JHG,-16.681,-39.777,-49.106,-20.978,-8.446,8.725,6.105,13.11,44.22,36.529,70.985,129.8638571,127.7119997,132.3520132,126.2743666
JHX,-16.25,-29.775,-52.186,-39.271,-7.276,20.077,60.188,64.09,37.05,2.352,12.883,62.70843896,16.74169289,17.24454287,17.27617711
JILL,90.524,-10.681,-10.487,45.605,67.932,19.896,48.58,10.933,35.389,65.287,33.83932298,32.25055384,19.71940109,34.99167173,49.32115695
JJSF,-24.669,-14.913,8.666,-5.942,27.968,24.642,1.506,0.121,15.169,-5.543,8.920476899,55.12098406,13.08252162,20.71918665,13.90106072
JKHY,18.485,15.411,8.476,-4.279,-16.644,-21.131,-13.511,3.879,3.078,6.942,20.481,21.81036884,9.249967397,10.50744608,0.892681042
JKS,-4.01269862,18.872,-1.247,-5.771,-45.824,-40.893,-29.06,-52.858,-44.09,-46.626,-22.215,-72.88788183,144.8624144,-71.77822502,37.33782442
JLL,1.237,-25.325,-46.436,-29.145,-31.745,-9.195,-1.504,7.142,29.993,42.399,87.831,53.28477611,-36.24119686,-87.28032037,-138.8543966
JMIA,-71.315,-60.078,-68.717,-61.386,-59.116,-13.1977,-39.957,67.033,60.958,58.252,42.349,177.1119392,92.81369995,65.90281283,54.91574281
JNJ,2.669,10.895,1.359,5.79,-4.784,-9.287,-4.005,-16.569,-2.541,-4.71,13.915,5.408448704,11.61306802,10.13391162,8.843744701
JNPR,24.143,-0.391,4.438,-8.414,-4.346,-1.427,-13.688,18.953,23.302,34.817,46.186,54.97336825,30.15909981,23.97508662,19.14246186
JOB,7.692,15.192,20.223,-10.526,-16.944,-27.713,-16.049,-18.627,-29.928,-34.873,-12.51643449,-52.37841516,-4.009948509,0.689376857,1.575226769
JOBY,-46.7,-24.539,-51.225,-22.067,-15.76,24.58,30.131,27.865,11.789,-36.275,-14.933,39.36641622,5.912294319,15.88439665,3.004871691
JOE,16.432,-3.471,-23.698,-3.126,-25.255,25.951,36.01,23.599,29.415,11.784,16.869,62.2786374,12.08157243,21.87019287,10.68232433
JOUT,-14.83863593,-28.44706681,-79.475,-20.139,0.769,-11.849,-27.794,-34.392,-32.614,-38.134,-15.32063593,-50.8992638,10.05659566,22.76166034,29.80938475
JPM,-20.871,-24.846,-25.383,-8.06,10.526,37.62,9.23,28.217,40.781,27.368,61.516,80.73481789,27.81167941,20.48590187,15.78977155
JRSH,-24.143,-34.113,-42.565,-28.906,-22.177,-39.626,-30.166,-31.648,-28.86,-13.932,13.435,-71.22024062,183.9297027,-542.2841911,1673.092705
JRVR,-48.194,-38.409,-24.416,12.564,-15.691,-30.648,-61.763,-58.548,-61.256,-56.116,-45.792,-114.6688072,-54.0412817,-50.34109611,-45.47438748
JSPR,-70.508,-83.071,-92.217,-42.857,-46.416,-38.496,11.667,24.3,90.413,35.612,207.87,301.5251669,313.1346747,365.0753118,422.0639896
